time,hvac_reaAhu_THeaCoiSup_y
1116030,318.8328117615079
1116060,318.83479975934654
1116090,318.8367877304021
1116120,318.8387756800338
1116150,318.8407636032379
1116180,318.842751499435
1116210,318.844739368551
1116240,318.8467272105615
1116270,318.8487150254585
1116300,318.8507028132397
1116330,318.8526905739045
1116360,318.854678307453
1116390,318.8566660138855
1116420,318.8586536932023
1116450,318.86064134540374
1116480,318.8626289704902
1116510,318.86461656846205
1116540,318.8666041393197
1116570,318.86859168306336
1116600,318.8705791996936
1116630,318.87256668570785
1116660,318.8745541479697
1116690,318.87654158323903
1116720,318.87852899141717
1116750,318.88051637248486
1116780,318.8825037264418
1116810,318.8844910446901
1116840,318.8864783407943
1116870,318.8884656089015
1116900,318.89045285291127
1116930,318.89244007081567
1116960,318.8944272619457
1116990,318.8964144260786
1117020,318.89840156314045
1117050,318.90038867310665
1117080,318.90237575596944
1117110,318.90436281172634
1117140,318.90634984037695
1117170,318.90833684192114
1117200,318.9103238163593
1117230,318.912310760566
1117260,318.9142976757782
1117290,318.9162845650181
1117320,318.9182714308784
1117350,318.9202582602895
1117380,318.92224506044647
1117410,318.9242318407118
1117440,318.92621859339306
1117470,318.9282053103424
1117500,318.9301920001896
1117530,318.93217866293526
1117560,318.9341652985795
1117590,318.93615190712296
1117620,318.93813848856576
1117650,318.9401250429084
1117680,318.9421115701512
1117710,318.9440980702946
1117740,318.9460845433389
1117770,318.94807098928453
1117800,318.9500574081317
1117830,318.9520438084853
1117860,318.95403017896126
1117890,318.9560165253279
1117920,318.958002844648
1117950,318.9599891280086
1117980,318.9619753933051
1118010,318.9639616345163
1118040,318.9659478496353
1118070,318.96793403799353
1118100,318.96992019936823
1118130,318.9719063336854
1118160,318.9738924409208
1118190,318.9758785210663
1118220,318.97786457411974
1118250,318.9798506000804
1118280,318.98183659894846
1118310,318.9838225707242
1118340,318.9858085154078
1118370,318.98779443299975
1118400,318.98978032350044
1118430,318.99176617862054
1118460,318.9937520013947
1118490,318.99573779707896
1118520,318.9977235656738
1118550,318.9997093071796
1118580,319.0016950215966
1118610,319.00368070892523
1118640,319.0056663691659
1118670,319.007652002319
1118700,319.00963760838476
1118730,319.0116231873637
1118760,319.01360873925614
1118790,319.01559426406243
1118820,319.0175797617829
1118850,319.01956523241796
1118880,319.02155067596806
1118910,319.02353609243346
1118940,319.0255214818145
1118970,319.0275068441117
1119000,319.0294921793254
1119030,319.03147749334465
1119060,319.03346278119636
1119090,319.03544804767694
1119120,319.03743328807917
1119150,319.039418501419
1119180,319.04140368767884
1119210,319.04338884685745
1119240,319.0453739789551
1119270,319.04735908397214
1119300,319.049344161909
1119330,319.05132921276606
1119360,319.05331423654354
1119390,319.055299233242
1119420,319.0572842028617
1119450,319.059269145403
1119480,319.06125406086625
1119510,319.0632389492519
1119540,319.06522381056027
1119570,319.0672086447917
1119600,319.06919345194666
1119630,319.07117822578573
1119660,319.07316297185906
1119690,319.075147693167
1119720,319.07713239047985
1119750,319.0791170617446
1119780,319.0811017062773
1119810,319.08308632385007
1119840,319.0850709143873
1119870,319.087055477864
1119900,319.08904001427203
1119930,319.09102452360906
1119960,319.0930090058744
1119990,319.0949934610682
1120020,319.0969778891907
1120050,319.09896229024224
1120080,319.10094666422316
1120110,319.1029310111338
1120140,319.10491533097456
1120170,319.1068996237458
1120200,319.10888388944784
1120230,319.1108681241853
1120260,319.11285233562904
1120290,319.1148365201205
1120320,319.11682067754947
1120350,319.11880480791115
1120380,319.120788911206
1120410,319.12277298743436
1120440,319.12475703659646
1120470,319.1267410586928
1120500,319.1287250537237
1120530,319.1307090216895
1120560,319.1326929625905
1120590,319.13467687642725
1120620,319.1366607632
1120650,319.13864462290917
1120680,319.1406284555551
1120710,319.14261226113814
1120740,319.14459603965867
1120770,319.14657979111706
1120800,319.1485635155137
1120830,319.15054720774975
1120860,319.1525308747643
1120890,319.15451451587126
1120920,319.1564981224277
1120950,319.15848171066966
1120980,319.16046527253684
1121010,319.1624488074562
1121040,319.1644323153539
1121070,319.1664157962055
1121100,319.16839925000323
